iteration,rank_slope,all_exposure
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
1,FALSE,FALSE
2,TRUE,FALSE
3,FALSE,TRUE
4,TRUE,TRUE
